Installs by language
Date,Arabic,Bulgarian,Catalan,Chinese (China),Chinese (Taiwan),Croatian,Czech,Danish,Dutch,English,English (United Kingdom),English (United States),Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Persian,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,en-ca,fr-ca
4/7/22,1,0,0,8,0,0,0,1,1,0,4,41,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,3,0,1,5,0,0,0,4,0,0,1,0,2,0,0
4/8/22,0,0,0,3,0,0,0,0,2,0,8,28,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,3,0,0,1,0,1,0,0
4/9/22,0,0,0,2,0,0,0,0,1,0,15,63,0,0,0,6,0,0,0,9,0,1,1,0,0,0,0,0,3,1,0,3,0,0,0,4,0,0,0,0,14,0,0
4/10/22,0,0,0,2,0,0,0,0,1,0,10,41,0,0,4,2,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,5,0,0,1,2,0,0,1,0,1,0,0
4/11/22,0,0,0,3,0,0,0,0,0,0,6,31,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,4,0,0
4/12/22,0,0,0,3,0,0,1,0,0,0,3,17,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,7,0,0,0,0,1,0,0
4/13/22,0,0,0,2,1,0,0,0,0,0,6,20,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0
4/14/22,0,0,0,1,0,0,0,0,0,0,8,20,0,0,1,0,1,0,1,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
4/15/22,0,1,0,2,0,0,0,0,0,0,3,12,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
4/16/22,0,0,0,1,0,0,0,0,0,0,5,12,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
4/17/22,1,0,0,2,0,0,0,0,1,0,6,24,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4/18/22,0,0,1,1,1,0,0,0,1,0,6,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,2,0,1,0,4,0,0
